INFO:root:thread {'async': 0, 'thread': 1}
INFO:root:asycn {'async': 1, 'thread': 1}
INFO:root:thread {'async': 1, 'thread': 2}
INFO:root:thread {'async': 1, 'thread': 3}
INFO:root:thread {'async': 1, 'thread': 4}
INFO:root:thread {'async': 1, 'thread': 5}
INFO:root:thread {'async': 1, 'thread': 6}
INFO:root:thread {'async': 1, 'thread': 7}
INFO:root:thread {'async': 1, 'thread': 8}
INFO:root:thread {'async': 1, 'thread': 9}
INFO:root:thread {'async': 1, 'thread': 10}
INFO:root:thread {'async': 1, 'thread': 11}
INFO:root:thread {'async': 1, 'thread': 12}
INFO:root:thread {'async': 1, 'thread': 13}
INFO:root:thread {'async': 1, 'thread': 14}
INFO:root:thread {'async': 1, 'thread': 15}
INFO:root:thread {'async': 1, 'thread': 16}
INFO:root:thread {'async': 1, 'thread': 17}
INFO:root:thread {'async': 1, 'thread': 18}
INFO:root:thread {'async': 1, 'thread': 19}
INFO:root:thread {'async': 1, 'thread': 20}
INFO:root:thread {'async': 1, 'thread': 21}
INFO:root:thread {'async': 1, 'thread': 22}
INFO:root:thread {'async': 1, 'thread': 23}
INFO:root:thread {'async': 1, 'thread': 24}
INFO:root:thread {'async': 1, 'thread': 25}
INFO:root:thread {'async': 1, 'thread': 26}
INFO:root:thread {'async': 1, 'thread': 27}
INFO:root:thread {'async': 1, 'thread': 28}
INFO:root:thread {'async': 1, 'thread': 29}
INFO:root:thread {'async': 1, 'thread': 30}
INFO:root:thread {'async': 1, 'thread': 31}
INFO:root:thread {'async': 1, 'thread': 32}
INFO:root:thread {'async': 1, 'thread': 33}
INFO:root:thread {'async': 1, 'thread': 34}
INFO:root:thread {'async': 1, 'thread': 35}
INFO:root:thread {'async': 1, 'thread': 36}
INFO:root:thread {'async': 1, 'thread': 37}
INFO:root:thread {'async': 1, 'thread': 38}
INFO:root:thread {'async': 1, 'thread': 39}
INFO:root:thread {'async': 1, 'thread': 40}
INFO:root:thread {'async': 1, 'thread': 41}
INFO:root:thread {'async': 1, 'thread': 42}
INFO:root:thread {'async': 1, 'thread': 43}
